m,n,k,p,L,G,r,lda,u,init_fit,bcs_fit,cs_fit,minc,maxc,mink0,maxk0,avgk_0,mink1,maxk1,avgk_1,iter,fit
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,0.0,0.536425353391
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,1.0,0.592306416714
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,2.0,0.663953946591
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,3.0,0.703982884928
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,4.0,0.747133496577
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,5.0,0.766889310568
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,6.0,0.783274054117
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,7.0,0.797908490429
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,8.0,0.808881078569
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,9.0,0.816089037678
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,10.0,0.823138171279
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,11.0,0.839284154236
0,200,200,1,10,100,1000,0.2,5,0.5,0.536425353391,0.875026442892,1.0,1.82880984989e-06,0.971753302377,0.442,0.772,0.62952,0.582,0.862,0.73036,12.0,0.845436457557
